Focal,day.id,time_play_min,hunt_day
Mystere,Mystere_2017-01-16,1030,no
Belle,Belle_2017-01-28,831,no
Pandora,Pandora_2017-01-29,999,no
Pandora,Pandora_2017-02-19,503,no
Kuba,Kuba_2017-03-04,647,no
Kinshasa,Kinshasa_2017-03-05,567,no
Ibrahim,Ibrahim_2017-03-20,883,no
Ibrahim,Ibrahim_2017-04-25,459,no
Jacobo,Jacobo_2017-05-22,996,no
Fredy,Fredy_2017-08-04,690,no
Poseidon,Poseidon_2017-08-21,560,no
Pandora,Pandora_2017-09-09,609,no
Jacobo,Jacobo_2017-09-12,579,no
Willy,Willy_2017-10-20,435,no
Pandora,Pandora_2017-12-22,423,no
